City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
349,pachino,36.7186,15.0907,22.02,74,100,2.18,IT,1717976068
350,mapimi,25.8167,-103.85,33.82,15,20,5.74,MX,1717976069
351,al jaradiyah,16.5795,42.9124,33.72,40,14,0.03,SA,1717976069
352,fafe,41.4542,-8.168,17.38,88,94,0.98,PT,1717976071
353,montepuez,-13.1256,38.9997,17.26,77,62,4.59,MZ,1717976072
354,sao joao da barra,-21.6403,-41.0511,21.05,77,19,7.33,BR,1717976072
355,fontenay-le-comte,46.5833,-1.0,15.8,84,42,3.54,FR,1717976074
356,laojunmiao,39.8333,97.7333,18.4,24,100,1.24,CN,1717976075
357,kudahuvadhoo,2.6708,72.8944,28.41,77,75,4.24,MV,1717976075
358,bodaybo,57.8506,114.1933,15.49,64,0,1.11,RU,1717976076
359,ancud,-41.8697,-73.8203,9.62,87,85,5.14,CL,1717975922
360,tanumah,27.1,44.1333,34.59,15,83,2.59,SA,1717976078
361,labytnangi,66.6572,66.4183,6.88,85,94,2.11,RU,1717975864
